sample_id,brand,quantity,pack_count,unit_quantity,category,price
233065,2212,63.0,12,5.25,17,1.49
72342,3314,240.0,1,240.0,20,46.41
72067,4,8.5,1,8.5,17,9.85
84196,8893,20.0,1,20.0,16,12.45
107365,8933,24.0,1,24.0,20,20.99
26936,4788,11.0,1,11.0,15,4.39
272978,3812,11.0,1,11.0,17,7.04
45565,9261,12.0,1,12.0,17,11.99
93888,3992,16.0,1,16.0,9,29.95
237048,1123,5.46,6,0.91,25,18.85
136095,4871,10.0,1,10.0,17,11.485
282038,8415,16.0,1,16.0,16,9.715
270438,4820,17.63,1,17.63,17,24.99
108458,9032,13.5,1,13.5,21,19.99
171908,9084,32.0,1,32.0,17,30.94
231177,2522,16.0,1,16.0,20,33.47
295482,7700,8.82,1,8.82,17,14.9
146177,5908,6.0,1,6.0,16,6.99
233511,1196,80.0,1,80.0,25,79.95
204586,3612,33.8,1,33.8,19,89.98
272332,56,12.0,1,12.0,2,15.95
20013,6578,16.0,1,16.0,15,33.5
248978,4486,5.3,1,5.3,15,10.99
81251,899,24.0,1,24.0,17,26.39
167614,5092,84.0,3,28.0,17,10.02
124087,433,6.0,6,1.0,20,24.33
291251,8799,1.0,1,1.0,25,8.99
2511,5599,8.0,1,8.0,15,50.76
206609,378,1.0,1,1.0,2,32.3
127502,7677,22.8,12,1.9000000000000001,23,29.99
261368,7266,2.0,1,2.0,17,14.105
66293,4627,100.0,1,100.0,8,38.0
19141,1220,50.0,2,25.0,17,9.98
215554,8219,7.5,1,7.5,7,4.69
251784,8219,2.45,1,2.45,2,5.88
280942,7091,3.5,1,3.5,23,7.99
265271,3766,1.0,1,1.0,15,21.99
255173,7462,128.0,1,128.0,13,88.09
165947,4540,4.0,4,1.0,20,5.49
185249,8674,29.0,2,14.5,17,7.29
86828,3615,16.0,2,8.0,5,4.265
13491,7308,8.45,1,8.45,15,9.455
82516,5146,16.0,2,8.0,17,15.1
79135,1570,12.0,1,12.0,17,12.05
215511,4127,125.0,1,125.0,17,23.09
2733,7967,16.0,1,16.0,17,20.78
105749,7082,4.0,1,4.0,17,2.08
272720,4200,21.6,12,1.8,23,27.74
168686,6297,96.0,6,16.0,16,2.72
3788,2756,8.48,1,8.48,16,2.92
177943,1940,2.3,1,2.3,2,9.99
39160,7783,1.0,1,1.0,17,76.53
164369,4726,1.0,1,1.0,17,61.42
146900,5159,150.0,1,150.0,15,117.49
71599,6336,4.55,1,4.55,16,1.535
31805,8106,9.0,1,9.0,2,14.95
65177,8145,10.8,1,10.8,23,3.29
91401,7539,12.4,1,12.4,15,4.99
59342,3265,8.0,1,8.0,17,8.17
250421,5887,72.0,1,72.0,15,25.95
55945,512,0.7,1,0.7,15,6.99
172952,10055,101.4,6,16.900000000000002,17,6.99
184656,6303,4.5,1,4.5,2,9.99
195629,9638,12.0,1,12.0,25,225.55
194822,7178,8.0,1,8.0,23,2.98
152840,3615,7.0,7,1.0,13,3.68
72337,941,14.1,1,14.1,9,8.145
59184,4180,32.0,1,32.0,11,19.99
67074,5092,48.0,12,4.0,17,4.885
234638,614,8.0,1,8.0,9,12.99
33808,8831,144.0,6,24.0,25,26.99
124622,8219,6.0,6,1.0,21,32.86
271271,2223,12.0,1,12.0,8,21.99
198446,3579,240.0,12,20.0,2,21.665
192504,5092,50.8,1,50.8,16,16.425
124436,3314,24.0,1,24.0,13,26.26
256100,5578,1.0,6,0.16666666666666666,17,58.76
41876,8557,11.0,1,11.0,17,6.49
76807,289,7.0548,1,7.0548,20,8.99
132073,8511,50.0,1,50.0,16,36.435
9657,585,39.0,1,39.0,17,14.39
39474,8219,24.0,1,24.0,17,49.94
47207,6297,6.0,6,1.0,9,12.614999999999998
129147,5517,6.25,6,1.0416666666666667,17,4.12
169944,8486,12.0,1,12.0,17,4.390000000000001
127274,7935,1.5,1,1.5,23,2.6
66204,2518,1.0,1,1.0,23,54.95
212009,3600,24.0,12,2.0,21,145.99
93408,4540,1.9,1,1.9,20,6.8
201777,3314,128.0,1,128.0,16,89.99
174512,7990,17.5,1,17.5,17,4.99
154686,508,12.0,3,4.0,17,11.49
22275,3766,16.0,1,16.0,15,27.95
36991,1107,183.0,12,15.25,17,8.9
112112,9032,2.0,1,2.0,17,24.99
211620,5804,2.0,1,2.0,17,33.29
238772,2451,,1,,8,9.49
295040,5750,12.0,1,12.0,17,8.64
87665,5164,5.5,1,5.5,7,2.0
296813,7913,4.0,1,4.0,25,26.84
44704,8487,1.4,1,1.4,8,21.46
197319,6087,2.5,1,2.5,20,42.0
270826,7055,1.0,1,1.0,23,61.99
185492,2074,24.0,1,24.0,21,2.99
198241,971,1.0,1,1.0,25,52.99
191919,6781,10.0,1,10.0,23,41.75
294361,9087,48.0,3,16.0,25,6.49
215947,2280,1.0,1,1.0,17,34.99
64454,6406,14.0,1,14.0,16,13.99
189578,1523,8.0,1,8.0,16,2.99
111069,6432,35.27,1,35.27,16,39.59
270971,5731,0.22,1,0.22,17,7.98
255696,4475,3.125,5,0.625,23,6.74
113777,4230,36.0,1,36.0,17,32.82
106857,6494,6.13,1,6.13,17,8.49
214226,1177,3.0,1,3.0,13,2.5
268097,4826,8.5,1,8.5,7,7.83
94638,4084,1500.0,1,1500.0,2,30.435
134898,426,120.6,1,120.6,13,5.0
225513,4799,36.0,3,12.0,15,4.9350000000000005
221411,384,1.0,1,1.0,16,24.98
193026,7399,32.0,1,32.0,13,6.69
215272,6041,136.0,1,136.0,2,33.98
293950,9793,10.0,1,10.0,17,19.95
74083,4774,14.7,1,14.7,15,4.29
6479,1418,216.0,1,216.0,17,4.79
21859,4712,20.6,1,20.6,15,30.995
135228,3294,101.4,500,0.2028,2,36.99
263361,5003,0.35,1,0.35,17,32.235
1831,7104,25.0,1,25.0,15,26.09
156446,2953,4.0,1,4.0,16,8.53
17314,7233,1.0,1,1.0,15,42.95
245291,6588,16.0,1,16.0,25,21.95
171425,2671,2.0,1,2.0,17,19.225
39667,4313,372.0,24,15.5,17,1.28
3550,9038,14.0,1,14.0,17,58.53
280705,1351,46752.0,1,46752.0,17,7.55
17029,1122,8.8,1,8.8,20,5.99
136274,4581,20.0,1,20.0,2,5.88
274982,7416,200.0,1,200.0,17,10.99
231191,8487,,1,,8,12.17
82932,5092,3.0,3,1.0,17,21.77
197196,7437,1.7637,1,1.7637,17,6.99
130340,8313,40.5,6,6.75,20,21.525
235609,559,1.0,1,1.0,9,46.97
34652,2703,35.27,1,35.27,17,13.79
273107,7680,16.0,1,16.0,17,6.99
200663,6196,8.0,1,8.0,25,12.99
149603,1177,100.0,1,100.0,15,38.54
220733,6140,12.0,1,12.0,15,14.99
251861,1107,12.0,1,12.0,9,10.0
172242,2337,6.0,1,6.0,17,3.49
99834,2712,64.0,1,64.0,20,6.140000000000001
32297,3926,10.5,1,10.5,16,16.99
178981,78,12.0,1,12.0,2,65.32
217556,5804,6.0,1,6.0,17,61.99
216333,8219,25.32,6,4.22,25,2.58
220717,7799,36.0,1,36.0,23,65.0
195040,1101,64.0,1,64.0,10,29.99
147682,3755,50.0,1,50.0,15,45.27
183101,4394,100.0,1,100.0,8,26.4
151583,2559,90.0,6,15.0,13,10.435
37943,1123,18.0,12,1.5,25,61.42
93640,3652,0.35,1,0.35,23,19.145
286875,7870,12.0,1,12.0,8,18.5
207294,5498,2.11,1,2.11,17,2.59
196633,9336,12.0,1,12.0,25,56.1
182280,5106,14.0,1,14.0,17,2.28
77165,3768,4.5,1,4.5,17,3.39
262403,4091,6.0,6,1.0,16,9.095
23520,378,12.0,1,12.0,23,12.0
194351,6022,3.25,1,3.25,17,7.99
402,3411,32.0,1,32.0,2,17.96
106058,5307,11.88,6,1.9800000000000002,20,16.74
7603,9851,35.2,1,35.2,16,34.0
287712,1673,13.0,1,13.0,8,13.95
260789,2927,60.0,6,10.0,23,42.9
48835,506,60.0,12,5.0,17,4.245
156401,4334,32.0,1,32.0,17,5.29
52248,9443,32.0,1,32.0,21,14.99
224633,9130,32.0,1,32.0,23,18.37
291119,4109,2.0,1,2.0,25,5.785
206125,7018,16.0,1,16.0,16,47.99
220718,1296,35.2,1,35.2,9,22.99
268878,1779,8.0,1,8.0,24,8.37
22787,2707,288.0,1,288.0,17,6.105
87537,8831,144.0,6,24.0,16,22.69
120063,2532,10.0,1,10.0,17,42.39
106361,2457,101.6,4,25.4,9,32.34
287764,9060,20.0,1,20.0,16,14.99
55196,1936,108.0,1,108.0,23,65.7
193960,1101,58.8,6,9.799999999999999,17,4.46
216337,8219,12.0,12,1.0,20,18.28
50253,3314,12.0,1,12.0,13,52.98
170960,1432,16.0,1,16.0,14,39.99
144073,3207,4.0,1,4.0,15,30.01
201477,4636,144.0,1,144.0,25,38.49
263102,7667,24.0,1,24.0,13,55.38
202612,6474,12.0,1,12.0,23,14.39
228323,5170,9.0,1,9.0,9,20.6
10373,4586,48.0,1,48.0,2,11.94
118238,1578,55.75,1,55.75,7,9.86
148947,9361,0.42,1,0.42,17,11.07
142345,9344,8.0,1,8.0,15,52.61
84044,7460,6.0,6,1.0,17,23.29
289330,3944,54.0,6,9.0,25,2.99
233938,4691,32.0,1,32.0,0,24.5
12068,9552,5.5,1,5.5,2,12.88
266573,8893,20.0,1,20.0,15,5.62
247742,7851,0.3527,1,0.3527,20,13.99
120806,9814,16.0,1,16.0,17,1.88
76474,2217,1.0,1,1.0,2,77.99
196481,3569,16.0,1,16.0,25,43.32
96295,1845,,2,,17,21.775
148380,1177,12.0,1,12.0,15,50.58
137493,5003,1.7,1,1.7,9,20.915
54835,2015,48.0,3,16.0,25,13.99
132016,3985,400.0,1,400.0,17,8.95
204405,1414,440.0,1,440.0,17,32.0
257677,2744,32.0,4,8.0,9,2.265
114494,3723,6.0,6,1.0,17,76.265
262627,8052,35.274,1,35.274,17,20.5
69995,3623,30.8,1,30.8,8,21.995
57055,2109,64.0,1,64.0,9,58.99
280880,1220,18.0,12,1.5,23,2.89
71915,6621,73.2,6,12.200000000000001,17,68.99
12865,450,0.2,1,0.2,2,3.12
277020,9795,16.0,1,16.0,25,3.22
165102,9703,12.0,1,12.0,17,25.49
677,1588,2.8,1,2.8,0,4.99
24786,8378,10.0,1,10.0,20,59.0
48174,8300,19.25,1,19.25,17,4.98
7354,2257,33.0,1,33.0,17,85.97
234300,7429,13.4,2,6.7,2,12.99
71904,6526,2.2,1,2.2,23,30.195
207195,7197,24.0,6,4.0,20,47.99
265747,5260,3.0,1,3.0,25,8.99
122675,7135,12.0,1,12.0,13,2.49
117269,9060,14.37,1,14.37,17,4.56
297779,9448,16.0,1,16.0,8,16.99
79644,4018,1.0,1,1.0,15,5.34
186864,9130,24.0,1,24.0,17,18.99
17652,7685,10.0,1,10.0,15,5.48
127091,9696,15.0,1,15.0,2,2.5
174936,1107,9.4,1,9.4,20,13.545
171843,4794,170.0,1,170.0,20,57.98
46755,2875,1.0,1,1.0,20,3.1950000000000003
26228,7662,12.0,1,12.0,17,4.17
157640,5936,320.0,1,320.0,7,75.31
90584,8666,8.0,1,8.0,20,30.62
245967,5020,33.8,1,33.8,2,15.99
58392,7429,96.0,1,96.0,16,22.99
66199,6217,3.0,3,1.0,7,6.61
162946,1466,1.0,1,1.0,12,9.32
240448,3065,14.31,1,14.31,23,18.39
111586,6294,30.0,1,30.0,15,54.55
129519,6886,1.0,1,1.0,20,13.95
126792,4799,12.7,1,12.7,23,6.99
121330,7204,4.0,1,4.0,16,30.62
248540,2760,10.0,1,10.0,8,9.44
278391,1023,75.0,6,12.5,2,34.49
54763,4788,11.5,1,11.5,17,4.19
201621,2778,96.0,12,8.0,17,21.7
46952,5750,18.0,12,1.5,17,0.97
288832,5112,32.0,1,32.0,13,7.8
227646,9188,96.0,4,24.0,25,18.125
176719,5099,288.0,1,288.0,17,4.79
152219,7633,4.0,1,4.0,25,17.98
264100,6,67.6,1,67.6,14,19.565
281234,436,1.76,1,1.76,17,3.89
293601,5435,1.0,1,1.0,17,10.99
40371,8467,480.0,24,20.0,17,2.79
286342,7843,7.98,1,7.98,16,7.59
82162,2956,12.0,1,12.0,17,7.49
174378,4807,9.0,1,9.0,2,10.2
85610,805,6.0,1,6.0,17,6.635
93622,7429,64.0,1,64.0,23,22.99
201415,644,4.0,1,4.0,19,166.51999999999998
116819,3766,35.2,1,35.2,20,38.99
30676,8252,48.0,6,8.0,14,4.640000000000001
243522,6253,50.7,1,50.7,2,8.18
110096,6043,12.0,1,12.0,8,38.335
218463,86,42.0,1,42.0,23,13.78
244730,6251,85.0,5,17.0,15,5.98
128662,7918,1.0,1,1.0,17,32.95
233413,6344,75.0,6,12.5,21,68.77
231341,710,1.0,1,1.0,20,76.99
25150,4540,100.0,1,100.0,17,14.95
215004,2749,1.0,1,1.0,17,59.99
160629,5750,19.5,1,19.5,17,36.735
269887,5418,0.7,1,0.7,17,7.9
294750,4084,192.0,12,16.0,8,38.99
258244,5353,144.0,6,24.0,25,28.585
91169,2521,8.0,1,8.0,25,29.68
2563,5190,16.0,1,16.0,15,56.37
149424,8678,1.0,1,1.0,16,9.99
241069,6201,2.6,1,2.6,2,8.665
214130,559,1.75,1,1.75,17,9.99
210658,5583,30.0,1,30.0,5,7.375
34249,6294,1.0,1,1.0,15,45.0
213650,1678,60.0,6,10.0,15,9.04
19113,4724,18.0,6,3.0,20,49.59
217093,6526,12.0,1,12.0,8,24.29
162479,4962,22.0,1,22.0,2,4.48
215355,8245,34.8,6,5.8,11,24.99
34853,8604,144.0,12,12.0,17,9.69
5238,1280,10.5,1,10.5,21,2.22
199181,5383,22.64,8,2.83,17,1.34
30763,493,56.04,12,4.67,16,3.29
23962,2291,22.0,1,22.0,8,18.49
162542,8963,10.0,1,10.0,17,12.5
164955,8496,108.0,1,108.0,25,41.99
244779,5908,20.4,3,6.8,23,19.99
63772,8695,8.0,1,8.0,7,14.99
58563,9309,24.0,24,1.0,17,43.99
78089,7704,45.0,1,45.0,17,1.42
94444,8364,4.0,1,4.0,9,69.56
101753,7207,83.44,14,5.96,17,25.185
251410,2476,12.0,1,12.0,9,18.55
14179,5254,6.0,1,6.0,15,7.99
270096,4909,5.2,1,5.2,20,4.985
233086,3766,1.0,1,1.0,23,199.99
284916,6034,3.53,1,3.53,15,13.925
74193,5457,10.0,1,10.0,17,9.79
103341,1632,16.9,1,16.9,2,1.99
291205,8984,16.0,1,16.0,25,4.46
88983,4778,32.0,1,32.0,17,21.99
82534,4979,28.0,2,14.0,16,2.99
286874,8460,550.0,1,550.0,23,41.09
100040,6147,6.25,1,6.25,20,22.99
217760,2721,128.0,1,128.0,17,18.52
266652,1232,48.0,2,24.0,17,20.065
61832,4766,9.5,1,9.5,15,9.99
137599,1123,60.0,6,10.0,25,9.99
174965,4584,36.0,1,36.0,2,16.65
18040,1177,24.0,1,24.0,15,72.93
58524,7333,6.0,1,6.0,17,14.93
171266,6513,384.0,1,384.0,2,64.74
10030,8348,18.0,1,18.0,21,14.99
162024,941,20.0,1,20.0,0,2.84
163291,2667,80.0,1,80.0,13,9.485
294437,4187,6.8,1,6.8,2,15.3
51314,4047,12.0,1,12.0,8,14.99
218483,9851,6.5,1,6.5,23,15.18
85669,8474,10.0,1,10.0,13,5.74
215652,6068,11.04,8,1.38,23,3.38
36255,3314,16.0,1,16.0,5,10.1
49092,1713,12.0,1,12.0,8,14.99
298198,5253,6.0,1,6.0,17,2.52
44045,7263,6.0,1,6.0,17,16.0
110023,8678,1.0,1,1.0,20,43.21
172002,4806,96.0,6,16.0,2,21.765
85399,7806,12.69,1,12.69,7,21.59
105800,2734,2.45,1,2.45,8,21.95
42458,7783,0.67,1,0.67,2,3.97
178459,9188,1.0,1,1.0,25,7.24
69618,8332,18.0,1,18.0,23,4.79
12761,2457,25.4,1,25.4,15,12.85
292914,3551,190.0,6,31.666666666666668,17,11.48
228328,9293,7.75,1,7.75,7,3.79
140141,9638,1.0,1,1.0,17,31.380000000000003
25539,4140,126.0,1,126.0,9,42.65
33663,8487,24.0,2,12.0,8,9.94
242502,6018,1.2,3,0.39999999999999997,17,7.99
223699,2779,12.0,12,1.0,2,87.99
19205,6059,100.0,1,100.0,15,54.27
49690,8099,16.0,1,16.0,5,11.385
115621,1085,1.0,1,1.0,7,3.31
57598,4948,4.0,1,4.0,15,11.94
284908,8129,4.25,1,4.25,20,3.69
177544,2212,1.0,1,1.0,15,29.96
264135,5750,1.0,1,1.0,17,6.75
102717,3444,36.0,1,36.0,2,21.99
276798,8703,1.0,1,1.0,17,40.96
224574,9084,16.0,2,8.0,17,19.45
138061,4052,72.0,1,72.0,9,34.98
249471,2184,21.0,1,21.0,17,3.38
176842,8487,96.0,1,96.0,15,22.65
280433,9615,180.0,12,15.0,17,35.99
209692,405,175.0,1,175.0,17,36.5
62159,6608,41.0,1,41.0,17,14.1
133845,4136,128.0,8,16.0,17,38.99
59147,3360,,1,,15,3.59
152844,3615,7.0,7,1.0,23,3.69
75098,5329,96.0,1,96.0,20,9.92
238859,2569,3.9,1,3.9,23,9.99
197832,2257,16.0,1,16.0,17,12.69
275776,8975,16.0,1,16.0,23,3.69
248321,4271,128.0,1,128.0,2,26.96
269879,8418,2.0,2,1.0,20,7.13
284307,2559,15.0,1,15.0,23,2.245
104166,1123,1.0,1,1.0,16,13.59
281270,2018,5.0,1,5.0,21,3.99
135131,1257,10.0,1,10.0,17,2.02
209467,9688,12.5,2,6.25,17,10.99
166261,3376,14.0,1,14.0,21,174.84
245933,7099,216.0,1,216.0,17,4.99
153721,5646,12.6,12,1.05,16,11.98
3646,3411,35.0,1,35.0,17,140.75
237417,9245,1.0,1,1.0,25,45.99
215442,8313,3.0,1,3.0,23,9.05
87977,1107,19.9,1,19.9,17,2.075
120716,3209,6.7,1,6.7,14,13.88
187180,6941,152.16,6,25.36,23,66.35499999999999
63153,5,10.0,1,10.0,21,28.48
65977,1731,16.0,1,16.0,17,19.95
191183,9986,144.0,24,6.0,2,21.59
110351,9924,6.2,1,6.2,17,20.96
119539,975,6.0,6,1.0,0,38.4
90844,3992,16.0,1,16.0,9,32.95
251236,8963,8.0,1,8.0,17,7.2
169149,6513,10.0,1,10.0,17,4.225
223973,1284,48.0,1,48.0,17,12.99
187548,3768,48.0,1,48.0,17,12.075
159036,1229,25.5,8,3.1875,17,19.46
120251,252,16.0,2,8.0,7,12.99
106795,6767,10.5,1,10.5,23,3.29
226169,4526,1.0,1,1.0,17,25.99
239212,2535,36.0,1,36.0,16,29.95
294434,5985,8.0,1,8.0,9,11.385
217205,1432,20.0,1,20.0,21,5.48
140300,9299,192.0,1,192.0,13,33.69
211448,3600,11.7,6,1.95,23,51.84
225829,674,144.0,1,144.0,17,39.99
227063,6244,8.0,1,8.0,21,22.56
240532,4151,48.0,3,16.0,17,9.35
116224,8896,32.0,1,32.0,25,13.98
55619,5260,26.4,12,2.1999999999999997,17,1.99
62817,7268,24.0,1,24.0,17,25.96
144132,9184,10.6,1,10.6,7,26.99
53510,6588,1.0,1,1.0,17,22.99
89636,7064,75.0,1,75.0,17,3.87
107939,10029,7.0,1,7.0,15,2.19
293615,9824,4.0,4,1.0,25,6.869999999999999
201658,1424,192.0,1,192.0,25,29.77
89586,6018,,6,,17,62.49
112198,6483,1.0,1,1.0,16,39.75
1582,8877,75.0,1,75.0,15,68.14
133811,8942,1.0,1,1.0,25,13.95
95283,6587,44.0,4,11.0,9,10.56
23471,2702,60.88,1,60.88,17,5.47
88736,519,9.6,1,9.6,23,29.86
118344,4909,2.4,1,2.4,20,4.1
253964,8630,1.0,1,1.0,16,7.19
86507,5926,1.62,1,1.62,2,3.26
96407,3730,39.6,1,39.6,23,3.34
273197,5425,8.8,1,8.8,17,12.98
66453,3766,48.0,1,48.0,15,48.99
115180,2721,1.0,1,1.0,21,9.87
162621,5298,1.0,1,1.0,2,9.96
110915,1864,6.0,6,1.0,16,31.0
210108,2158,6.0,1,6.0,2,12.99
74333,4799,9.6,1,9.6,15,7.7
82603,3220,21.0,1,21.0,23,14.99
199689,7636,15.5,1,15.5,21,36.49
282438,4140,16.0,1,16.0,7,5.495
33356,9031,14.0,1,14.0,15,10.19
240258,6632,42.3288,1,42.3288,17,23.59
295892,667,32.0,1,32.0,17,102.97
256664,1093,4.9,1,4.9,2,7.965
157600,1372,1.0,1,1.0,17,104.43
275769,1731,5.0,1,5.0,2,35.730000000000004
222919,6473,1.6,1,1.6,0,2.99
204416,9903,250.0,1,250.0,23,11.99
161551,4871,84.0,6,14.0,23,42.64
48298,8487,48.0,6,8.0,20,7.995
75809,7670,8.5,1,8.5,7,4.79
76741,3465,32.0,1,32.0,15,21.99
2141,9656,75.0,1,75.0,15,46.8
293335,3590,264.0,24,11.0,17,4.53
5300,4892,8.0,1,8.0,15,50.76
166037,5974,51.0,6,8.5,17,30.24
